String	Ref. Ten. (lbs)	Swing Speed	Material	Gauge Nominal (mm)	Gauge Acutal (mm)	Stretch at 40 lbs (%)	Stretch at 51 lbs (%)	Stretch at 62 lbs (%)	Actual Pre-impact Tension (lbs)	Dwell Time (ms)	Deflection (mm)	Tension Change (lbs)	Peak Tension (lbs)	Peak Perp. Force (lbs)	Ave Perp. Force (lbs)	Stiffness (lb/in)	Static Loss lbs.	Stabilization Loss (lbs)	Impact Loss (lbs).	Total Loss (lbs)	Tension Loss (%)	Energy Return (%)	String/String COF	String/Ball COF	Spin Potential
Solinco Hyper-G 17 (1.20)	51	Fast	Polyester	1.2	1.30	2.0	3.6	4.2	37.93	34.1	32.0	49.0	87.1	34.8	16.0	194.9	2.80	9.99	0.22	13.0	25.7	88.4	0.088	0.541	6.1
Tecnifibre Black Code 15L (1.32)	51	Fast	Polyester	1.32	1.26	1.8	8.2	8.8	35.94	33.9	31.6	51.8	87.8	34.7	16.2	210.3	3.92	10.86	0.20	15.0	29.5	87.6	0.094	0.578	6.1
Tecnifibre Black Code 4S 18 (1.20)	51	Fast	Polyester	1.2	1.20	0.9	4.8	11.5	38.04	33.5	31.0	49.6	87.8	34.0	16.4	210.3	3.64	9.04	0.22	13.0	25.4	88.4	0.087	0.532	6.1
Tecnifibre Razor Code 18 (1.20)	51	Fast	Polyester	1.2	1.30	2.1	3.3	3.0	36.71	33.6	31.1	51.4	88.2	34.2	16.6	216.6	3.64	10.37	0.35	14.3	28.3	88.7	0.083	0.509	6.1
Wilson Revolve 15 (1.35)	51	Fast	Polyester	1.35	1.14	5.8	3.3	4.8	29.99	35.6	32.4	49.6	79.6	32.2	15.4	192.0	5.73	15.00	0.38	21.2	41.6	86.3	0.069	0.418	6.1
Solinco Hyper-G 16L (1.25)	51	Fast	Polyester	1.25	NA	7.3	7.6	3.9	38.50	33.3	30.9	51.2	89.7	34.6	16.6	218.3	3.35	8.87	0.31	12.6	24.7	89.5	0.09	0.55	6.1
Head Lynx Tour 16 (1.30)	51	Fast	Polyester	1.3	1.30	6.7	4.8	9.4	35.28	33.4	30.9	53.8	89.1	34.4	16.8	228.6	4.41	11.03	0.02	15.4	30.5	87.6	0.085	0.519	6.1
Solinco Outlast 16	51	Fast	Polyester	1.3	1.35	1.5	2.7	3.9	27.28	35.6	32.0	52.5	79.6	31.9		208.0	8.16	15.28	0.56	24.0	47.3	86.7	0.069	0.416	6
Kirschbaum Max Power Rough 16 (1.30)	51	Fast	Polyester	1.3	NA	6.1	3.0	10.3	36.60	33.1	31.0	54.7	91.3	35.3	17.0	230.9	4.41	9.71	0.22	14.3	28.3	87.8	0.078	0.468	6
Tourna Black Zone 17	51	Fast	Polyester	1.2	1.23	1.5	2.7	3.9	35.02	34.8	32.0	47.0	82.0	32.8	15.8	186.9	3.40	12.30	0.29	15.9	31.5	88.0	0.08	0.477	6
Volkl V-Torque 18 (1.18)	51	Fast	Polyester	1.18	1.35	6.4	7.3	8.2	27.89	37.3	34.1	45.0	73.0	31.1	14.6	157.2	4.85	17.98	0.33	23.2	45.7	85.7	0.083	0.502	6
Solinco Mach 10 16 (1.30)	51	Fast	Polyester	1.3	1.32	5.5	6.7	NA	37.71	33.6	29.0	46.1	83.8	30.3	15.7	222.3	4.41	8.60	0.36	13.5	26.3	87.0	0.081	0.486	6
Signum Pro Plasma HEXtreme 16L/1.25	51	Fast	Polyester	1.25	1.24	1.8	2.4	3.3	30.10	35.2	32.0	51.6	81.8	32.7		204.6	7.45	13.17	0.44	21.2	41.5	86.1	0.076	0.451	5.9
Solinco Tour Bite 16L (1.25)	51	Fast	Polyester	1.25	NA	1.5	2.7	3.3	38.37	32.4	29.5	50.9	89.3	33.0		237.7	3.75	8.60	0.42	12.8	25.2	88.4	0.085	0.505	5.9
Prince Tour XC 17L	51	Fast	Polyester	1.22	NA	1.5	3.0	4.2	34.09	34.5	32.0	52.0	86.0	34.4	15.9	205.7	4.78	11.85	1.94	18.5	36.6	88.0	0.073	0.428	5.9
Gamma IO Soft 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	33.74	34.9	32.1	48.7	82.5	33.1	15.7	192.6	4.41	12.57	0.22	17.2	33.9	87.2	0.075	0.44	5.9
Gamma Zo Verve 16 (1.32)	51	Fast	Polyester	1.32	1.34	NA	NA	10.3	39.67	32.9	30.5	52.7	92.2	35.2	16.7	229.2	3.09	7.96	0.20	11.2	22.2	90.4	0.076	0.446	5.9
Kirschbaum Max Power 16 (1.30)	51	Fast	Polyester	1.3	1.32	3.3	6.1	3.6	40.35	32.7	30.2	52.3	92.6	35.0	16.6	233.2	2.93	7.44	0.24	10.6	20.9	90.4	0.078	0.46	5.9
Prince Tour XR 17 (1.25)	51	Fast	Polyester	1.25	1.32	1.8	2.7	3.9	29.88	35.4	32.5	52.7	82.7	33.6	15.2	203.5	5.73	15.11	0.55	21.4	42.2	84.8	0.077	0.455	5.9
Signum Pro Tornado 18 (1.17)	51	Fast	Polyester	1.17	1.28	8.8	8.5	10.0	31.27	36.4	33.9	47.4	78.5	33.3	14.9	167.4	4.41	15.04	0.40	19.8	39.1	86.1	0.092	0.546	5.9
Luxilon ALU Power 125/16L	51	Fast	Polyester	1.25	1.23	1.8	3.0	3.9	27.52	35.5	32.7	54.9	82.5	33.7		209.2	8.58	14.62	0.42	23.6	46.6	85.0	0.077	0.446	5.8
Topspin Cyber Blue 16	51	Fast	Polyester	1.3	1.29	2.1	3.0	4.2	29.19	35.7	32.0	47.8	77.0	30.8		189.7	7.39	14.14	0.46	22.1	43.3	84.1	0.079	0.456	5.8
Volkl Cyclone 17	51	Fast	Polyester	1.25	1.24	2.4	4.2	5.5	26.83	36.2	32.1	48.5	75.4	30.3		191.5	8.36	15.53	0.52	24.5	48.1	84.5	0.084	0.488	5.8
Solinco Tour Bite 18 (1.15)	51	Fast	Polyester	1.15	1.18	3.6	5.2	6.7	25.67	37.3	33.8	45.6	71.2	30.2		161.7	8.56	16.49	0.62	25.6	50.6	84.8	0.097	0.563	5.8
Kirschbaum Black Shark 17 (1.25)	51	Fast	Polyester	1.25	NA	2.4	3.9	NA	31.66	34.3	31.0	51.4	82.9	32.2	15.9	216.6	6.11	12.95	0.42	19.4	38.4	88.2	0.072	0.421	5.8
Gamma Moto 16	51	Fast	Polyester	1.29	NA	2.1	3.3	3.9	35.61	32.0	29.9	49.8	85.6	32.0	17.3	226.9	4.96	10.15	0.51	15.7	30.8	88.7	0.079	0.461	5.8
Dunlop Black Widow 18 (1.21)	51	Fast	Polyester	1.21		0.0	0.0	0.0	35.24	34.6	32.0	49.2	84.5	33.8	16.3	194.9	2.98	12.50	0.18	15.7	30.9	89.7	0.099	0.571	5.8
Dunlop Ice 16 (1.30)	51	Fast	Polyester	1.3	1.3	NA	NA	3.3	28.33	35.4	32.5	53.1	81.4	33.0	15.3	204.6	6.33	16.06	0.66	22.9	45.4	85.0	0.073	0.425	5.8
Gosen Polylon Premium 16 (1.32)	51	Fast	Polyester	1.32	1.34	NA	NA	11.5	35.06	33.5	31.1	51.8	86.9	33.7	16.1	217.7	4.52	11.14	0.09	15.7	31	88.9	0.077	0.447	5.8
Pacific XCite 16L (1.25)	51	Fast	Polyester	1.25	1.31	1.5	2.4	5.2	36.82	34.0	31.6	50.7	87.5	34.6	17.2	206.3	3.86	10.04	0.22	14.1	27.8	87.6	0.079	0.458	5.8
Signum Pro Hyperion 18 (1.18)	51	Fast	Polyester	1.18	1.29	9.4	10.3	11.8	32.81	35.5	32.6	48.1	80.9	33.0	15.4	184.0	4.30	13.61	0.40	18.3	36.1	85.6	0.089	0.516	5.8
Solinco Tour Bite Soft 16L (1.25)	51	Fast	Polyester	1.25	1.3	6.7	8.8	8.5	36.05	34.7	32.2	48.7	84.9	34.1	16.3	192.0	3.51	11.16	0.22	15.0	29.3	88.5	0.088	0.507	5.8
Solinco Tour Bite 20 (1.05)	51	Fast	Polyester	1.05	1.33	1.8	8.5	4.2	27.23	38.5	36.0	43.4	70.6	31.8	14.3	136.0	4.83	18.66	0.51	24.0	47.3	87.2	0.093	0.543	5.8
Topspin Cyber Whirl 17 (1.24)	51	Fast	Polyester	1.24	1.26	7.3	8.5	3.6	37.26	33.8	31.9	50.9	88.2	35.1	16.1	204.0	3.77	9.69	0.26	13.7	27	87.8	0.092	0.534	5.8
Yonex Poly Tour Fire 16L (1.25)	51	Fast	Polyester	1.25	1.28	1.8	9.7	4.8	33.05	34.9	32.0	49.2	82.2	33.0	15.8	194.9	5.09	12.58	0.09	17.9	35	86.5	0.076	0.443	5.8
Grapplesnake Tour Sniper 1.25	51	Fast	Polyester	1.25	1.28	2.1	4.8	7.0	34.62	34.3	31.9	51.8	86.4	34.5	15.8	206.3	5.07	11.03	0.11	16.3	32	85.6	0.086	0.501	5.8
Kirschbaum Pro Line II 1.30	51	Fast	Polyester	1.3	1.30	1.5	2.7	5.5	27.06	35.8	32.2	53.4	80.5	32.3		209.7	8.53	15.13	0.49	24.0	47.6	85.6	0.078	0.444	5.7
MSV Hepta-Twist 17	51	Fast	Polyester	1.25	1.30	3.3	5.5	6.7	25.86	36.6	33.0	48.5	74.5	30.7		181.2	8.69	16.17	0.59	25.4	50.2	84.1	0.085	0.482	5.7
Kirschbaum Super Smash 17 (1.25)	51	Fast	Polyester	1.25	1.25	1.8	2.7	4.8	26.86	35.3	31.9	52.9	79.8	31.9		210.9	8.07	15.79	0.51	24.5	48	83.2	0.08	0.453	5.7
Double AR Twice Shark (1.25)	51	Fast	Polyester	0	NA	NA	7.6	10.6	19.12	40.2	36.1	46.1	65.3	29.4	13.3	143.4	11.03	20.57	0.77	32.4	63.8	79.7	0.086	0.494	5.7
Gamma IO 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	35.94	34.1	31.9	49.6	85.6	34.2	16.0	197.7	3.95	10.83	0.33	15.2	29.8	89.3	0.069	0.396	5.7
Head Lynx 17 (1.25)	51	Fast	Polyester	1.25	1.36	7.3	8.5	9.1	27.12	36.2	33.7	50.1	77.2	32.5	14.7	179.5	6.35	17.25	0.22	23.8	47	84.6	0.079	0.453	5.7
Solinco Tour Bite Soft 17 (1.20)	51	Fast	Polyester	1.2	1.30	7.3	8.8	7.0	36.16	34.9	32.3	47.6	83.8	33.8	15.8	186.3	3.46	11.10	0.26	14.8	29.2	87.0	0.092	0.526	5.7
Yonex Poly Tour HS 16L (1.25)	51	Fast	Polyester	1.25	1.33	1.5	3.0	9.4	36.38	34.1	31.8	49.2	85.6	34.0	16.4	198.3	3.46	10.88	0.11	14.3	28.5	88.2	0.081	0.461	5.7
Kirschbaum Xplosive Speed 1.30	51	Fast	Polyester	1.3	1.31	2.4	10.3	3.9	29.11	35.5	32.9	51.4	80.5	33.1	15.3	193.2	8.56	13.05	0.36	22.1	43.3	86.9	0.102	0.577	5.7
Signum Pro Poly-Plasma Pure 16L	51	Fast	Polyester	1.28	1.31	1.5	2.4	3.3	30.63	34.5	31.1	52.7	83.3	32.4		221.2	7.50	12.59	0.51	20.5	40.6	85.6	0.083	0.467	5.6
IsoSpeed Black Fire 17	51	Fast	Polyester	1.25	NA	2.1	3.0	4.5	31.38	34.5	31.6	50.1	81.6	32.2	15.6	204.6	5.31	14.03	0.60	19.8	39.3	86.5	0.069	0.386	5.6
Volkl V-Torque 16	51	Fast	Polyester	1.28	NA	4.5	7.0	8.8	26.11	35.2	32.2	46.3	72.5	29.2	15.5	181.7	7.23	17.38	0.62	25.1	49.7	87.4	0.087	0.487	5.6
Tourna Black Zone 16	51	Fast	Polyester	1.3	NA	1.5	2.4	3.3	36.29	34.2	31.9	49.4	85.6	34.1	15.7	197.2	4.15	10.28	0.52	15.0	29.5	88.2	0.075	0.417	5.6
Gosen Poly Professional 17 (1.24)	51	Fast	Polyester	1.24		0.0	0.0	0.0	28.33	36.3	33.8	47.4	75.6	32.0	14.9	169.2	6.04	16.35	0.22	22.5	44.6	86.5	0.081	0.451	5.6
Kirschbaum Max Power Rough 17 (1.25)	51	Fast	Polyester	1.25	1.29	1.5	2.7	2.7	37.62	33.2	31.0	52.9	90.4	35.1	16.8	223.5	4.08	9.02	0.29	13.5	26.4	89.7	0.088	0.496	5.6
Solinco Barb Wire 16L (1.25)	51	Fast	Polyester	1.25	1.26	2.7	4.2	3.6	34.00	35.3	32.8	48.3	82.2	33.7	15.4	182.9	4.01	12.71	0.29	17.0	33.5	85.4	0.105	0.59	5.6
Topspin Cyber Delta 17 (1.26)	51	Fast	Polyester	1.25	1.3	7.0	8.5	9.4	33.41	34.9	32.1	51.2	84.5	34.0	15.8	200.6	5.07	12.24	0.29	17.6	34.7	87.8	0.09	0.504	5.6
Tecnifibre Razor Code 17 (1.25)	51	Fast	Polyester	1.25	1.2	2.4	2.7	8.8	35.94	33.4	31.0	54.2	90.2	34.9	16.3	229.2	4.06	10.72	0.22	15.0	29.6	88.7	0.086	0.48	5.6
Tourna Big HItter Black 7 16 (1.25)	51	Fast	Polyester	1.25	1.16	NA	7.0	4.5	38.59	33.2	30.6	51.6	90.2	34.5	16.6	222.9	3.06	9.07	0.22	12.3	24.3	88.9	0.109	0.608	5.6
Weiss Cannon Mosquito Bite 18 (1.16)	51	Fast	Polyester	1.16	1.33	6.1	7.0	9.7	33.08	35.4	32.6	47.8	80.9	32.9	15.7	182.3	4.15	13.49	0.34	17.9	35.4	87.8	0.089	0.495	5.6
Tecnifibre Ice Code 16 (1.30)	51	Fast	Polyester	1.3	1.25	1.5	2.4	4.5	33.30	33.8	31.5	54.0	87.3	34.3	16.0	221.2	5.29	12.13	0.34	17.9	35	88.0	0.086	0.482	5.6
Gosen Polylon Comfort 16	51	Fast	Polyester	1.3	1.32	3.0	5.8	7.3	23.90	36.9	33.5	52.3	76.1	31.8		189.2	10.80	16.02	0.64	27.3	54.1	83.2	0.073	0.402	5.5
Solinco Outlast 17	51	Fast	Polyester	1.2	1.24	2.4	4.2	5.8	25.73	36.9	33.0	49.0	74.7	30.8		182.9	8.67	16.32	0.57	25.6	50.4	83.9	0.074	0.406	5.5
Prince Tour XS 16	51	Fast	Polyester	1.25	NA	1.8	3.0	3.9	32.90	34.9	32.0	49.6	82.5	33.0	15.7	196.6	4.72	13.10	0.53	18.3	36.2	89.5	0.089	0.488	5.5
Prince Tour XP 16	51	Fast	Polyester	1.3	NA	1.5	2.7	3.6	34.64	34.5	32.0	50.1	84.7	33.8	16.0	198.3	4.70	11.38	2.45	18.5	36.5	88.9	0.079	0.436	5.5
Prince Tour XC 16L	51	Fast	Polyester	1.22	NA	1.5	3.0	3.9	34.16	34.5	32.0	51.8	86.0	34.4	16.0	205.7	5.42	11.14	2.03	18.5	36.7	88.2	0.077	0.42	5.5
Prince Tour XC 15L	51	Fast	Polyester	1.35	NA	1.5	3.0	4.2	30.05	35.2	32.3	53.6	83.6	33.8	15.6	208.6	5.95	14.72	2.38	22.9	45.4	85.2	0.075	0.416	5.5
Boris Becker Bomber NYC 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	37.04	33.9	31.8	51.2	88.2	35.1	16.7	205.7	3.31	10.37	0.22	13.9	27.4	89.3	0.076	0.42	5.5
Luxilon Element 16L (1.25)	51	Fast	Polyester	1.25	1.34	NA	NA	11.8	33.80	34.2	32.0	52.5	86.2	34.5	16.2	208.0	4.83	12.09	0.11	17.0	33.6	88.2	0.078	0.431	5.5
Prince Tour XR 16 (1.30)	51	Fast	Polyester	1.3	1.31	1.5	9.1	2.9	30.43	34.9	32.0	54.2	84.7	33.9	15.4	214.9	5.18	15.11	0.44	20.7	40.9	85.4	0.084	0.458	5.5
Signum Pro Firestorm 16 (1.30)	51	Fast	Polyester	1.3	1.28	7.3	8.8	3.0	29.22	36.3	33.1	50.1	79.4	32.8	15.1	185.7	5.25	16.25	0.33	21.8	43	83.9	0.088	0.485	5.5
Tourna Big Hitter Silver 17	51	Fast	Polyester	1.25	1.27	2.1	3.3	4.5	28.73	36.3	32.5	48.3	77.2	31.3		185.7	7.32	14.67	0.33	22.3	44	85.6	0.083	0.446	5.4
Kirschbaum Helix 16	51	Fast	Polyester	1.3	1.33	2.4	5.5	6.1	23.37	36.5	33.0	54.9	78.3	32.3		204.6	9.13	18.22	0.70	28.0	55.3	83.0	0.074	0.403	5.4
Kirschbaum Helix 17	51	Fast	Polyester	1.25	1.25	1.8	2.7	3.9	28.86	35.2	32.0	52.5	81.4	32.6		208.6	7.52	14.34	0.57	22.5	44.2	85.7	0.076	0.414	5.4
Kirschbaum Touch Turbo 16L (1.275)	51	Fast	Polyester	1.275	1.26	1.8	3.0	3.9	26.70	35.9	32.0	49.4	76.1	30.5		196.0	8.00	16.02	0.59	24.7	48.5	84.5	0.075	0.403	5.4
Kirschbaum Black Shark 16 (1.30)	51	Fast	Polyester	1.3	NA	1.5	3.0	4.2	30.32	34.1	31.0	52.7	83.1	32.2	15.3	223.5	6.15	14.25	0.49	20.9	41.2	86.1	0.08	0.429	5.4
Dunlop Black Widow 17	51	Fast	Polyester	1.26	NA	1.2	1.5	3.0	35.15	33.8	30.2	48.5	83.8	31.6	15.9	216.6	3.92	11.65	0.47	16.1	31.6	87.6	0.107	0.573	5.4
Gamma Poly Z 16	51	Fast	Polyester	1.3	NA	2.1	2.4	5.5	25.09	36.8	33.9	50.5	75.6	32.0	14.0	179.5	7.30	18.33	0.64	26.2	51.8	80.8	0.074	0.396	5.4
Luxilon ALU Power Feel 18/1.20	51	Fast	Polyester	1.2	NA	2.1	3.9	5.2	31.05	35.7	33.1	50.3	81.4	33.6	15.5	186.9	5.98	13.69	2.10	21.8	42.9	87.0	0.074	0.396	5.4
Kirschbaum Max Power 17 (1.25)	51	Fast	Polyester	1.25	NA	1.5	2.4	3.0	39.16	32.7	30.1	53.8	93.1	35.1	16.6	240.6	3.57	7.99	0.35	11.9	23.5	90.1	0.089	0.485	5.4
Solinco Tour Bite Diamond Rough 16L (1.25)	51	Fast	Polyester	1.25	NA	2.7	5.2	6.4	27.50	35.9	33.3	52.3	79.6	33.2	14.9	191.5	8.62	14.60	0.60	23.8	47	85.7	0.095	0.516	5.4
RS RS Lyon 17	51	Fast	Polyester	1.25	NA	2.1	3.3	4.5	32.96	35.0	32.7	51.8	84.7	34.6	15.5	196.6	6.39	11.37	0.52	18.3	36	88.4	0.094	0.511	5.4
Gosen Polylon Premium 16L (1.27)	51	Fast	Polyester	1.27		0.0	0.0	0.0	34.22	34.1	31.9	50.5	84.7	33.8	15.8	201.2	4.85	11.65	0.06	16.5	32.7	89.5	0.081	0.435	5.4
Gosen Poly Professional 16 (1.29)	51	Fast	Polyester	1.29	1.24	1.5	2.1	3.3	28.40	35.8	33.0	49.8	78.3	32.3	15.0	186.3	6.17	16.15	0.13	22.5	44.3	86.1	0.074	0.401	5.4
Signum Pro Poly Plasma 17 (1.23)	51	Fast	Polyester	1.23	1.29	1.2	2.1	3.6	37.75	34.0	31.8	49.4	87.1	34.7	16.0	198.3	3.20	9.77	0.22	13.2	26	87.8	0.089	0.483	5.4
Kirschbaum Touch Turbo 1.30	51	Fast	Polyester	1.3	1.30	1.4	2.4	3.3	28.14	35.0	31.8	54.5	82.5	32.8		218.3	7.65	14.93	0.58	23.2	45.7	82.8	0.085	0.45	5.3
Kirschbaum Super Smash 16/1.30	51	Fast	Polyester	1.3	1.34	1.5	2.3	3.6	25.51	35.8	32.0	56.0	81.4	32.6		221.7	8.49	16.72	0.48	25.6	50.7	80.8	0.08	0.424	5.3
Poly Star Turbo 16 (1.30)	51	Fast	Polyester	1.3	1.28	2.7	5.5	8.8	17.60	39.6	35.0	49.8	67.5	29.5		165.2	12.39	20.73	0.69	33.7	66.7	77.3	0.101	0.534	5.3
Double AR Raptor 1.27	51	Fast	Polyester	1.27	NA	1.2	1.8	2.4	39.78	32.7	30.1	53.1	92.8	34.9	16.5	238.3	3.31	7.63	0.38	11.2	22.3	89.5	0.098	0.521	5.3
Boris Becker Bomber NYC 16 (1.28)	51	Fast	Polyester	1.28		0.0	0.0	0.0	36.65	33.7	32.0	52.3	88.9	35.5	16.3	208.0	4.08	9.99	0.25	14.3	28.2	89.3	0.078	0.417	5.3
Gamma Zo Dart 17 (1.25)	51	Fast	Polyester	1.25	1.35	NA	NA	7.3	37.37	33.7	31.5	50.5	87.8	34.5	16.2	206.9	3.95	9.40	0.22	13.5	26.7	88.7	0.085	0.452	5.3
Pacific Poly Power Pro 16L (1.25)	51	Fast	Polyester	1.25	NA	8.8	9.1	8.2	26.88	36.5	33.7	50.3	77.2	32.5	15.1	180.0	6.02	17.82	0.22	24.0	47.4	84.1	0.088	0.462	5.3
Polyfibre Panthera 16 (1.30)	51	Fast	Polyester	1.3	1.33	1.8	3.0	12.1	36.27	33.7	31.3	51.2	87.3	34.2	16.1	212.6	3.53	10.92	0.13	14.6	28.7	88.0	0.092	0.488	5.3
Yonex Poly Tour Tough 16L	51	Fast	Polyester	1.25	1.22	7.6	2.4	3.0	30.03	35.2	32.1	49.0	78.9	31.7	15.2	193.7	5.53	15.16	0.20	20.9	41.2	85.7	0.087	0.459	5.3
Gosen G-Tour 16 (1.30)	51	Fast	Polyester	1.3	1.28	4.2	2.7	4.5	35.17	34.4	31.9	46.3	81.4	32.5	16.0	184.0	4.04	11.51	0.22	15.7	31.1	86.9	0.093	0.494	5.3
Luxilon ECO Spin 17 (1.25)	51	Fast	Polyester	1.25	1.29	1.5	4.2	7.0	37.46	33.4	31.0	50.5	87.8	34.0	7.3	213.2	3.31	9.95	0.15	13.5	26.4	85.4	0.108	0.577	5.3
Kirschbaum P2 16/1.30	51	Fast	Polyester	1.3	1.30	1.5	2.4	3.0	31.80	34.4	31.4	53.1	84.9	33.3		218.9	6.99	11.93	0.49	19.4	38.3	86.3	0.079	0.412	5.2
Wilson Enduro Tour 16	51	Fast	Polyester	1.3	1.30	0.9	2.1	3.0	32.06	33.6	30.2	56.7	88.6	33.5		251.5	7.28	11.38	0.42	19.0	37.6	86.9	0.079	0.414	5.2
Babolat Pro Hurricane Tour 17	51	Fast	Polyester	1.25	1.29	1.5	3.0	3.9	28.44	35.0	31.8	53.6	82.0	32.6		214.9	8.00	14.28	0.44	22.7	44.8	84.1	0.078	0.402	5.2
Signum Pro Poly-Plasma Pure 17 (1.23)	51	Fast	Polyester	1.23	1.25	2.1	3.0	4.2	29.55	35.4	32.0	50.3	79.8	31.9		199.5	7.17	14.00	0.62	21.8	43	84.1	0.086	0.449	5.2
Kirschbaum Touch Turbo 17 (1.25)	51	Fast	Polyester	1.25	1.34	1.5	2.7	2.4	28.27	35.2	31.9	50.9	79.2	31.6		203.5	7.74	14.71	0.51	22.9	45.3	84.3	0.084	0.44	5.2
Kirschbaum Super Smash Spiky 17 (1.25)	51	Fast	Polyester	1.25	1.29	1.5	3.0	4.5	25.42	35.5	32.0	54.0	79.4	31.8		214.3	9.26	16.04	0.55	25.8	51	82.8	0.074	0.386	5.2
Polyfibre Hexablade 17L (1.18)	51	Fast	Polyester	1.18	1.21	2.7	6.1	9.1	19.07	39.0	34.2	48.7	67.7	29.0		168.6	11.49	20.16	0.70	32.4	63.8	79.0	0.1	0.52	5.2
Dunlop Black Widow 16	51	Fast	Polyester	1.31	NA	2.1	3.6	4.5	31.82	35.0	31.0	45.9	77.6	30.1	15.0	193.2	5.56	13.34	0.46	19.4	38.2	87.2	0.107	0.557	5.2
Wilson Ripspin 16	51	Fast	Polyester	1.3	NA	1.5	3.0	4.2	31.22	34.7	32.0	53.4	84.7	33.9	15.5	212.0	5.78	13.72	0.59	20.1	39.6	85.9	0.082	0.423	5.2
Wilson Ripspin 17	51	Fast	Polyester	1.25	NA	2.1	3.6	4.5	32.15	34.7	32.0	52.7	84.9	34.0	15.6	209.2	5.38	13.19	0.62	19.2	37.8	86.9	0.081	0.425	5.2
Prince Tour XP 15L	51	Fast	Polyester	1.35	NA	1.5	3.0	3.9	31.05	35.6	32.8	49.0	80.0	32.9	15.4	184.6	5.73	13.94	2.76	22.5	44.2	87.2	0.083	0.435	5.2
Head Hawk Touch 18 (1.20)	51	Fast	Polyester	1.2		0.0	0.0	0.0	34.73	34.4	32.0	49.4	84.2	33.7	16.0	196.0	3.81	12.18	0.18	16.1	31.9	88.9	0.086	0.447	5.2
Yonex Poly Tour Pro 17 (1.20)	51	Fast	Polyester	1.2	1.41	3.9	5.6	11.2	33.91	34.9	32.0	47.6	81.6	32.7	15.7	188.6	3.15	13.66	0.11	17.0	33.3	87.0	0.093	0.481	5.2
Solinco Hyper-G-Soft 16L (1.25)	51	Fast	Polyester	1.25	1.27	1.5	3.9	3.9	36.27	35.7	33.9	48.5	84.9	35.9	30.8	172.0	4.30	10.15	0.11	14.6	28.7	88.0	0.099	0.512	5.2
Babolat Pro Hurricane Tour 16	51	Fast	Polyester	1.3	1.32	1.8	2.4	3.6	27.85	34.8	32.0	57.1	84.9	33.9		227.5	8.93	13.94	0.51	23.4	46.1	83.9	0.077	0.396	5.1
Boris Becker Bomber 16	51	Fast	Polyester	1.28	NA	2.1	3.3	4.5	27.30	35.9	32.0	51.6	78.9	31.5		204.6	8.31	15.11	0.38	23.8	46.9	85.0	0.09	0.461	5.1
Signum Pro Tornado 16	51	Fast	Polyester	1.29	1.33	1.8	3.3	4.2	26.99	35.1	32.0	54.2	81.4	32.5		215.5	9.46	14.27	0.49	24.3	47.7	86.1	0.085	0.434	5.1
Kirschbaum Super Smash Spiky 1.20	51	Fast	Polyester	1.2	1.20	2.4	3.9	5.5	24.67	36.3	32.4	52.9	77.6	31.5		205.2	9.88	16.17	0.66	26.7	52.7	83.7	0.095	0.48	5.1
Topspin Cyber Blue 17	51	Fast	Polyester	1.25	NA	2.1	3.3	4.5	27.83	36.3	32.3	47.0	74.7	30.1		183.5	7.76	15.13	0.51	23.4	46.1	83.9	0.09	0.457	5.1
Volkl V-Pro 17	51	Fast	Polyester	1.23	1.23	2.7	4.2	5.5	26.99	36.2	32.7	49.4	76.3	31.2		188.0	8.20	15.53	0.46	24.3	47.7	85.0	0.084	0.432	5.1
Poly Star Strike 16 (1.30)	51	Fast	Polyester	1.3	1.30	1.8	3.0	4.5	26.37	36.2	32.1	50.9	77.4	31.1		201.2	8.78	15.57	0.57	24.9	49.1	82.8	0.081	0.414	5.1
Gosen Polymaster II 16	51	Fast	Polyester	1	1.0 x	4.2	5.8	7.6	24.43	37.2	33.9	48.7	73.2	31.0		172.0	10.10	16.19	0.59	26.9	53	84.5	0.074	0.374	5.1
Kirschbaum Pro Line X 16 (1.30)	51	Fast	Polyester	1.3	NA	1.5	2.4	3.0	37.35	32.7	29.8	52.5	89.7	33.4		240.0	4.19	9.18	0.42	13.7	27.2	88.0	0.08	0.41	5.1
One Strings Carbon NRG 16	51	Fast	Polyester	1.3	NA	1.8	3.3	4.5	29.86	36.0	33.0	48.3	78.3	32.2	15.0	180.0	6.00	14.86	0.58	21.4	42.3	83.4	0.082	0.419	5.1
Babolat RPM Blast 18 (1.20)	51	Fast	Polyester	1.2		0.0	0.0	0.0	32.57	35.2	32.7	49.6	82.2	33.6	15.4	189.2	5.05	13.10	0.18	18.3	36.1	87.4	0.076	0.391	5.1
Dunlop Explosive 17 (1.26)	51	Fast	Polyester	1.26	1.29	NA	NA	8.5	34.51	34.8	32.0	48.5	83.1	33.3	15.7	192.0	4.08	12.13	0.22	16.3	32.4	87.2	0.086	0.436	5.1
IsoSpeed V18 19 (1.12)	51	Fast	Polyester	1.12	1.31	NA	NA	10.3	30.54	35.9	33.1	48.5	78.9	32.7	15.3	180.0	4.32	15.86	0.33	20.5	40.4	86.5	0.094	0.483	5.1
